	Neighborhood	Neighborhood Latitude	Neighborhood Longitude	Venue	Venue Latitude	Venue Longitude	Venue Category
205	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	АндерСон-Жулебино	55.69888475660512	37.8451806306839	Café
206	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Pecorino	55.702977320531375	37.84562375431078	Italian Restaurant
207	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Подружка	55.70010626400768	37.845370455793756	Cosmetics Shop
208	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Вкус Вилл	55.69809839798519	37.84842202754381	Convenience Store
209	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Domino's Pizza	55.698089337112656	37.84861663517063	Pizza Place
210	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Восточный Дворик	55.69752705687836	37.84931332695795	Middle Eastern Restaurant
211	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Шантимэль	55.69865831856649	37.8469559195282	Dessert Shop
212	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Paradise Fitness	55.700099594471176	37.84532184734266	Gym
213	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	IVEstore	55.698892314293296	37.84450203180313	Electronics Store
214	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	1 площадка	55.69963251357646	37.8392760047585	Soccer Field
215	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Магнит	55.7008586012783	37.8396232634551	Supermarket
216	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Нотариус	55.699998670098	37.838120444335516	Notary
217	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Пятерочка	55.69862879233879	37.84854082937219	Supermarket
218	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Пятерочка	55.7019794393269	37.84027814262491	Grocery Store
219	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Пруд на Привольной улице	55.69639919719503	37.84072406432232	Lake
220	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Турники	55.70240952812662	37.845616251747515	Outdoor Gym
221	Vykhino-Zhulebino District_OPS_145	55.699512	37.842421	Всё для дома и ремонта	55.70305205310265	37.84583797593608	Hardware Store
222	Vykhino-Zhulebino District_OPS_153	55.699180000000005	37.854432	Шоколадница	55.69814754661663	37.85048813468507	Coffee Shop
223	Vykhino-Zhulebino District_OPS_153	55.699180000000005	37.854432	Азбука вкуса	55.696465486127394	37.85283757090903	Gourmet Shop
224	Vykhino-Zhulebino District_OPS_153	55.699180000000005	37.854432	"Ансамбль Кавказского Танца ""Мерани"""	55.696827499408236	37.85504753360178	Dance Studio
225	Vykhino-Zhulebino District_OPS_153	55.699180000000005	37.854432	O'STIN	55.697148397735845	37.84967167688739	Clothing Store
